plot,grid_number,date,abundance,plot_grid,treatment,complexity,plot_date,days_since_outplanting
HN,21,07-Jun-19,4,HN - 21,70%,High,HN - 07-Jun-19,3
HN,21,09-Jul-19,3,HN - 21,70%,High,HN - 09-Jul-19,30
HN,21,11-Jun-19,0,HN - 21,70%,High,HN - 11-Jun-19,5
HN,21,13-Jun-19,2,HN - 21,70%,High,HN - 13-Jun-19,7
HN,21,15-Jul-19,3,HN - 21,70%,High,HN - 15-Jul-19,33
HN,21,15-Jun-19,0,HN - 21,70%,High,HN - 15-Jun-19,9
HN,21,20-Jul-19,5,HN - 21,70%,High,HN - 20-Jul-19,37
HN,21,20-Jun-19,5,HN - 21,70%,High,HN - 20-Jun-19,11
HN,21,25-Jul-19,1,HN - 21,70%,High,HN - 25-Jul-19,43
HN,21,25-Jun-19,7,HN - 21,70%,High,HN - 25-Jun-19,13
HN,21,28-Jul-19,2,HN - 21,70%,High,HN - 28-Jul-19,48
HN,21,28-Jun-19,3,HN - 21,70%,High,HN - 28-Jun-19,18
HN,22,02-Jul-19,0,HN - 22,50%,High,HN - 02-Jul-19,23
HN,22,05-Jul-19,1,HN - 22,50%,High,HN - 05-Jul-19,26
HN,22,05-Jun-19,0,HN - 22,50%,High,HN - 05-Jun-19,1
HN,22,06-Jun-19,1,HN - 22,50%,High,HN - 06-Jun-19,2
HN,22,07-Jun-19,0,HN - 22,50%,High,HN - 07-Jun-19,3
HN,22,09-Jul-19,0,HN - 22,50%,High,HN - 09-Jul-19,30
HN,22,11-Jun-19,0,HN - 22,50%,High,HN - 11-Jun-19,5
HN,22,13-Jun-19,1,HN - 22,50%,High,HN - 13-Jun-19,7
HN,22,15-Jul-19,1,HN - 22,50%,High,HN - 15-Jul-19,33
